DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011,2970630.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010,2798924.7,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009,2572056.7,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2020,3359777.2,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2018,3187189.6,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2017,2980287.5,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2016,2907889.9,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2015,2989121.5,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2014,3166809,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2013,3120542,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012,2992140.1,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2004,2930391.9,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,IND,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2003,2655989.6,,,F,1,E,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1998,1454470.8,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1997,1433436.1,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1996,1362869.2,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008,2558895.4,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2006,2193057.5,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2005,2046338.7,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2004,1922557.3,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2003,1770327,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2002,1716482,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2001,1640061.9,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2000,1581938.9,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,1999,1481869.6,,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.0),A,Y,BRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2023,4449226.3,,,F,1,A,6,USD
