DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,HUN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,344108.2,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,CHL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,491181,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,G20,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,110130668.3,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,DEU,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,4881924.3,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,RUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,4621589.2,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,PRT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,370352.4,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,IRL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,492269.6,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,IDN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,3223404.5,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,ITA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,2641204.2,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,SVK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,192849.3,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,KOR,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,2481996.5,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,ARG,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,1011999.4,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,CHE,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,642547.1,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,EU,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,20024128.9,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),A,Y,BEL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2020,647547.4,2020,,F,1,A,6,USD
